year,evi
2000,0.5731079876422882
2001,0.7226031223932902
2002,0.7079152920666862
2003,0.6582059462865194
2004,0.7139277919834736
2005,0.7960613147885192
2006,0.6851430266511207
2007,0.7277385893405652
2008,0.7467852395539191
2009,0.6887403115922329
2010,0.7593586403949588
2011,0.6923699709130269
2012,0.7553622681720584
2013,0.6941069002244987
2014,0.7783377708173266
2015,0.8098534076821571
2016,0.7700798423851237
2017,0.744965405440798
2018,0.733023063809264
2019,0.7448717098610074
2020,0.7227909839620777
2021,0.7503552045307907
