year,evi
2000,0.33935175295553954
2001,0.2818813227555331
2002,0.3193400437925376
2003,0.34245211222008165
2004,0.32968486304961
2005,0.27810371243486215
2006,0.33578000407592923
2007,0.3355761334007862
2008,0.32475635409355164
2009,0.36251825123440984
2010,0.33703382590822145
2011,0.24321498765664942
2012,0.259439115796019
2013,0.292553825851749
2014,0.2769232786753598
2015,0.34300488116694433
2016,0.30579687669581057
2017,0.31797503548509937
2018,0.23890000640177259
2019,0.21811428994816892
2020,0.27368857565463756
2021,0.26576608258719536
