plottag,dbh.x,year.x,plot.x,species,kgc.x,basal_area.x,dbh.y,year.y,plot.y,kgc.y,basal_area.y,dbh_gr,basal_gr,dbh_inc,kgc_inc,basal_inc,kgc_gr,pl_row,pl_col
A1-1,13.54,1998,A1,yb,33.860104800296014,144,14.02,1999,A1,36.812576333730796,154.4,0.4800000000000004,0.07222222222222226,0.03545051698670609,0.08719617233461635,10.400000000000006,2.9524715334347817,A,1
A1-2,32.22,1998,A1,rm,247.20702182293306,815.3,32.25,1999,A1,247.74365966342128,816.9,0.030000000000001137,0.0019624678032626307,9.310986964618603e-4,0.0021708033879094383,1.6000000000000227,0.5366378404882255,A,1
A1-6,33.07,1998,A1,rm,262.669699739117,858.9,33.08,1999,A1,262.854805114022,859.5,0.00999999999999801,6.985679357317764e-4,3.0238887208944694e-4,7.047077568856961e-4,0.6000000000000227,0.18510537490499246,A,1
A1-7,11.27,1998,A1,rm,21.38508731811585,99.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,1
A1-8,23.23,1998,A1,yb,124.60521949805971,423.8,23.43,1999,A1,127.2275423115656,431.2,0.1999999999999993,0.017461066540821087,0.008609556607834665,0.021045047904648347,7.399999999999977,2.622322813505889,A,1
A1-9,15.63,1998,A1,yb,47.805160296469225,191.9,15.67,1999,A1,48.10012419513851,192.9,0.03999999999999915,0.005211047420531527,0.002559181062060086,0.0061701267570286305,1,0.2949638986692875,A,1
A1-10,12.39,1998,A1,yb,27.371909998993036,120.6,12.59,1999,A1,28.441935065735308,124.5,0.1999999999999993,0.03233830845771149,0.016142050040355068,0.03909208625856346,3.9000000000000057,1.0700250667422715,A,1
A1-11,18.31,1998,A1,rm,66.25095542006406,263.3,18.52,1999,A1,68.03490651270212,269.4,0.21000000000000085,0.023167489555639825,0.011469142545057393,0.026927175333954417,6.099999999999966,1.7839510926380626,A,1
A1-12,16.24,1998,A1,rm,50.09492624397451,207.1,16.23,1999,A1,50.02308302594738,206.9,-0.00999999999999801,-9.657170449057877e-4,-6.157635467979072e-4,-0.0014341416070210297,-0.19999999999998863,-0.07184321802713356,A,1
A1-14,55.84,1998,A1,ro,1144.6448991756827,2449,56.08,1999,A1,1156.438069813815,2470,0.23999999999999488,0.008574928542262147,0.004297994269340882,0.010302907606214983,21,11.793170638132324,A,1
A1-15,22.12,1998,A1,rm,102.91475375054002,384.3,22.14,1999,A1,103.13169368628625,385,0.019999999999999574,0.0018214936247722836,9.041591320072139e-4,0.0021079575847024875,0.6999999999999886,0.2169399357462396,A,1
A1-16,9.95,1998,A1,rm,15.997645972313663,77.76,9.97,1999,A1,16.072669792121552,78.07,0.02000000000000135,0.003986625514403139,0.0020100502512564174,0.004689678715089019,0.30999999999998806,0.07502381980788897,A,1
A1-17,18.55,1998,A1,rm,68.29196718866955,270.3,18.61,1999,A1,68.80774939022466,272,0.05999999999999872,0.006289308176100587,0.003234501347708826,0.0075526042489033225,1.6999999999999886,0.5157822015551119,A,1
A1-18,25.79,1998,A1,rm,147.16682846668854,522.4,25.91,1999,A1,148.76726394345937,527.3,0.120000000000001,0.009379785604900416,0.004652966265994611,0.010874974295808023,4.899999999999977,1.6004354767708264,A,1
