year.x,growth,growth_inc,anomaly,anomaly_inc
1998,0.056699609920512914,1.1350769991322456e-4,-0.05208679855328924,-6.321095824183199e-5
1999,0.08277058214889221,1.631953117604029e-4,-0.026015826324909938,-1.3523346394653642e-5
2000,0.1017665830980451,2.023887587221564e-4,-0.007019825375757058,2.5670100567099858e-5
2001,0.10426774754258951,2.0633661934074083e-4,-0.0045186609312126425,2.961796118568428e-5
2002,0.09707620807694949,1.9267762859488175e-4,-0.011710200396852666,1.5958970439825204e-5
2003,0.09187508524778183,1.7689485451309063e-4,-0.01691132322602032,1.7619635803408696e-7
2004,0.12534819442600809,2.3281167653073834e-4,0.016561785952205935,5.609301837568179e-5
2005,0.11342443269165975,2.0422354848690478e-4,0.0046380242178575976,2.750489033184823e-5
2006,0.10622146353578932,1.8293687844179695e-4,-0.0025649449380128336,6.218220286740401e-6
2007,0.1188694423840419,2.0049120127903965e-4,0.01008303391023975,2.37725431239831e-5
2008,0.1232596060439162,2.1052294027298573e-4,0.014473197570114046,3.380428211792919e-5
2009,0.137109087220254,2.2957464372099632e-4,0.02832267874645185,5.285598556593977e-5
2010,0.11094240017112049,1.8021675766794932e-4,0.002155991697318338,3.4980995128927714e-6
2011,0.09772928361369337,1.5248945767791289e-4,-0.011057124860108777,-2.4229200477143663e-5
2012,0.11145985337931819,1.707942858183899e-4,0.002673444905516034,-5.924372336666659e-6
2013,0.09581739000994913,1.4765152539809406e-4,-0.012969018463853024,-2.9067132756962485e-5
2014,0.12578843810769166,1.830036222596819e-4,0.017002029633889512,6.284964104625354e-6
2015,0.13085159190648663,1.9082309671072435e-4,0.022065183432684474,1.41044385556678e-5
2016,0.10755409547761931,1.5615125186707225e-4,-0.0012323129961828438,-2.0567406287984303e-5
2017,0.10259880684085829,1.4781958367412828e-4,-0.006187601632943865,-2.889907448092827e-5
2018,0.1452533300385269,1.9879416413665462e-4,0.03646692156472474,2.2075505981598072e-5
2019,0.11194759988787852,1.5332868187203105e-4,0.003161191414076364,-2.3389976283025494e-5
2020,0.12455017099146753,1.6559290869296486e-4,0.015763762517665383,-1.1125749462091684e-5
2021,0.08431019032398426,1.0541892782844602e-4,-0.024476218149817888,-7.129973032661053e-5
2022,0.11216901876001928,1.5032042869540506e-4,0.0033826102862171276,-2.639822945965149e-5
