"","Plot","E","N","bearing","distance","E.1","N.1","elevation","slope","aspect","plot","SIMMONS_SO","MESIC_SOIL","DRAINAGE_C","TYPE_","geometry"
"1","A1",-72.17176138,42.53735899,NA,NA,732255.29190491,4713318.47697113,343,2.05277510153564,125.537677791974,"A1","Whitman very stony silt loam","Whitman loam- extremely stony","very poorly drained","Wvs",c(144816.337153314, 920973.764488616)
"2","A2",-72.17220166,42.53664271,211.5781156,100.6177986,732221.78979101,4713237.72571461,346,4.05866423218823,86.6335393365701,"A2","Gloucester stony loam","Canton loam","well drained","Bf",c(144779.542870756, 920894.486303072)
"3","A3",-72.17294426,42.53548522,212.6826979,163.8281168,732165.093669902,4713107.14887024,352,4.04469123538624,44.9999999999999,"A3","Acton stony loam","Scituate loam","moderately well drained (SFSL)","Sf",c(144717.526159037, 920766.395410763)
"4","B1",-72.17199578,42.53726421,28.06454203,244.5758665,732236.39310157,4713307.30862272,342,2.90182151730246,80.5376777919741,"B1","Whitman very stony silt loam","Whitman loam- extremely stony","very poorly drained","Wvs",c(144796.999181635, 920963.388166851)
"5","B2",-72.17274081,42.53651678,224.9074413,118.6668918,732177.97800235,4713222.26255511,348,2.43313879685047,78.69006752598,"B2","Whitman very stony silt loam","Whitman loam- extremely stony","very poorly drained","Wvs",c(144735.143017442, 920880.847406543)
"6","B3",-72.17355408,42.53564725,223.085449,135.1292401,732114.409562205,4713123.47064692,354,2.69895090892347,44.9999999999998,"B3","Acton stony loam","Scituate loam","moderately well drained (SFSL)","Sf",c(144667.572520762, 920784.788827998)
"7","B4",-72.17428897,42.53489182,224.2101895,118.9347389,732056.853705348,4713037.56512501,359,4.49514856614347,57.9946167919162,"B4","Gloucester stony fine sandy loam","Montauk fine sandy loam","well drained","G",c(144606.539248003, 920701.35403689)
"8","C1",-72.17215007,42.53732217,41.35029497,370.654911,732223.506925556,4713313.32197838,343,1.21711813160346,101.30993247402,"C1","Whitman very stony silt loam","Whitman loam- extremely stony","very poorly drained","Wvs",c(144784.375588518, 920969.926129381)
"9","C2",-72.17311207,42.53663424,234.4311948,126.3961649,732147.052069885,4713234.28868283,349,1.96786377642226,75.9637565320731,"C2","Acton stony loam","Scituate loam","moderately well drained (SFSL)","Sf",c(144704.748047447, 920894.135267109)
"10","C3",-72.17376999,42.53619407,236.2164435,83.78857806,732094.650581579,4713183.60375652,352,3.47174128556401,74.0546040990774,"C3","Whitman very stony silt loam","Whitman loam- extremely stony","very poorly drained","Wvs",c(144650.315701432, 920845.668692438)
"11","C4",-72.17443905,42.53573871,235.7604177,85.87690551,732041.38970042,4713131.20186532,355,3.01696130981605,71.5650511770781,"C4","Acton stony loam","Scituate loam","moderately well drained (SFSL)","Sf",c(144594.95413315, 920795.522505024)
"12","C5",-72.17581962,42.53481354,236.1726183,175.9544349,731931.432630886,4713024.67845304,368,2.05277510153563,35.5376777919743,"C5","Acton stony loam","Scituate loam","moderately well drained (SFSL)","Sf",c(144480.728671737, 920693.654012292)
"13","D1",-72.17252866,42.53727737,53.17906318,442.3586454,732192.580972452,4713307.30864136,345,3.43891239537828,33.6900675259801,"D1","Whitman very stony silt loam","Whitman loam- extremely stony","very poorly drained","Wvs",c(144753.236674149, 920965.194969665)
